Company,Pattern,Time Frame,Created Date & Time,Open,High,Low,Close,Volume
BAJAJ-AUTO,1min,Hammer,2025-01-01 09:23:00,8640.0,8644.0,8631.5,8644.0,1708.0
BAJAJ-AUTO,1min,Hammer,2025-01-01 09:24:00,8645.1,8645.1,8627.0,8644.95,2096.0
BAJAJ-AUTO,1min,Dragonfly Doji,2025-01-01 09:24:00,8645.1,8645.1,8627.0,8644.95,2096.0
BAJAJ-AUTO,1min,Evening Star,2025-01-01 09:25:00,8644.7,8644.7,8617.4,8627.3,4485.0
BAJAJ-AUTO,1min,Hammer,2025-01-01 09:41:00,8644.9,8645.0,8635.0,8643.3,1184.0
BAJAJ-AUTO,1min,Three White Soldiers,2025-01-01 09:59:00,8611.85,8616.0,8605.25,8613.75,1866.0
BAJAJ-AUTO,1min,Hammer,2025-01-01 10:23:00,8618.15,8621.8,8611.0,8620.0,1081.0
BAJAJ-AUTO,1min,Hammer,2025-01-01 10:24:00,8619.95,8620.0,8616.05,8619.05,817.0
BAJAJ-AUTO,1min,Hammer,2025-01-01 10:52:00,8652.95,8653.9,8647.75,8651.65,1011.0
BAJAJ-AUTO,1min,Hammer,2025-01-01 11:03:00,8652.7,8652.75,8650.05,8652.0,313.0
BAJAJ-AUTO,1min,Hammer,2025-01-01 11:09:00,8657.35,8657.35,8652.0,8657.2,551.0
BAJAJ-AUTO,1min,Dragonfly Doji,2025-01-01 11:09:00,8657.35,8657.35,8652.0,8657.2,551.0
BAJAJ-AUTO,1min,Hammer,2025-01-01 11:32:00,8638.45,8640.95,8635.1,8639.95,446.0
BAJAJ-AUTO,1min,Hammer,2025-01-01 11:33:00,8639.95,8639.95,8635.2,8639.0,292.0
BAJAJ-AUTO,1min,Hammer,2025-01-01 12:42:00,8658.0,8660.65,8653.1,8660.2,1204.0
BAJAJ-AUTO,1min,Hammer,2025-01-01 13:24:00,8655.3,8655.9,8653.1,8655.9,399.0
BAJAJ-AUTO,1min,Hammer,2025-01-01 13:43:00,8670.1,8670.15,8667.45,8670.0,333.0
BAJAJ-AUTO,1min,Dragonfly Doji,2025-01-01 13:43:00,8670.1,8670.15,8667.45,8670.0,333.0
